lat,lon,Eat and Drink,Entertainment,Transport,Leisure,Shopping,Services,Facilities
28.63361,77.28226,100,63,51,100,100,100,100
28.6327,77.28046,100,71,56,100,100,100,100
28.62567,77.29413,79,49,15,6,100,100,100
28.63312,77.30028,100,26,14,5,100,100,100
28.6379,77.3008,87,29,5,8,100,100,100
28.63218,77.28611,100,40,32,79,100,100,100
28.63265,77.30463,100,27,10,14,100,100,100
28.65064,77.29976,100,71,19,24,100,100,100
28.6442,77.29583,100,65,21,31,100,100,100
28.63347,77.28093,100,59,56,100,100,100,100
28.64537,77.29729,100,68,16,31,100,100,100
28.64322,77.28931,46,45,2,17,100,100,100
28.63241,77.27899,100,79,59,100,100,100,100
28.63575,77.28588,100,54,45,78,100,100,100
28.63375,77.30567,100,33,13,16,100,100,100
28.64403,77.29848,100,63,21,27,100,100,100
28.62804,77.28513,80,41,13,26,100,100,100
28.64245,77.28405,80,56,5,21,100,100,100
28.64381,77.27924,93,53,8,14,100,100,100
28.6512,77.29505,23,28,12,14,100,100,100
28.62831,77.28351,100,51,21,55,100,100,100
28.62485,77.29916,79,38,11,13,100,100,100
28.63256,77.29868,66,22,13,1,100,100,100
28.62848,77.28528,87,44,13,29,100,100,100
28.63683,77.28344,100,55,48,99,100,100,100
28.636,77.2832,100,61,52,100,100,100,100
28.64135,77.29466,100,23,27,19,100,100,100
28.63334,77.30527,100,32,10,13,100,100,100
28.63816,77.28556,100,52,37,52,100,100,100
28.63408,77.30245,100,34,13,13,100,100,100
28.62209,77.29168,50,28,11,5,100,100,100
28.62507,77.29768,75,34,14,10,100,100,100
28.63391,77.30132,100,36,13,12,100,100,100
28.63485,77.27799,100,77,46,100,100,100,100
28.63437,77.27933,100,62,49,100,100,100,100
28.63331,77.28403,100,59,52,100,100,100,100
28.6479,77.29737,76,73,14,28,100,100,100
28.63069,77.30352,92,29,10,9,100,100,100
28.64498,77.29609,100,66,19,34,100,100,100
28.62774,77.28343,100,53,19,46,100,100,100
28.62884,77.30029,74,37,8,14,100,100,100
28.64781,77.30015,100,71,17,28,100,100,100
28.63819,77.27942,100,50,13,46,100,100,100
28.63504,77.29765,43,20,14,3,100,100,100
28.63458,77.30475,100,33,8,13,100,100,100
28.62218,77.29167,49,28,11,5,100,100,100
28.63594,77.29943,92,29,12,3,100,100,100
