name,lat,lon
Nirman Vihar,28.63361,77.28226
Sunil Medical,28.6327,77.28046
Shanti Niketan Apartment,28.62567,77.29413
Puja Apartment,28.63312,77.30028
Kanchanjunga Apartments,28.6379,77.3008
Gupta Tower,28.63218,77.28611
Himalya Apartments,28.63265,77.30463
Gitanjali Apartment,28.65064,77.29976
Preet Vihar,28.6442,77.29583
Prakash Building,28.63347,77.28093
Gagan Vihar-Alternate Gate,28.64537,77.29729
Dda Flats Chitra Vihar,28.64322,77.28931
Ranav Complexes,28.63241,77.27899
Chaudhary Complex,28.63575,77.28588
Gourav Society,28.63375,77.30567
Paradise Apartment,28.64403,77.29848
Ganesh Nagar,28.62804,77.28513
Nirman Vihar,28.64245,77.28405
Al-Latif Tower,28.64381,77.27924
Aashirwad,28.6512,77.29505
Sanmatiniwas,28.62831,77.28351
Royal Bakery,28.62485,77.29916
Chandar Vihar Gali No. 7,28.63256,77.29868
Ambedkar Polytechnic Campus,28.62848,77.28528
Panorma Apartments,28.63683,77.28344
Tikona Park,28.636,77.2832
New Rajdhani Enclave-Gate No 1,28.64135,77.29466
Aakriti Apartment,28.63334,77.30527
Nirman Vihar,28.63816,77.28556
Natraj Apartment,28.63408,77.30245
Batra Store,28.62209,77.29168
Sundriyal Kutir,28.62507,77.29768
Seh Vikas,28.63391,77.30132
Riwaaz Cloth House,28.63485,77.27799
Pariwaa Fashion,28.63437,77.27933
Raj Bhawan,28.63331,77.28403
Iimt College,28.6479,77.29737
Unesco Apartments,28.63069,77.30352
Gagan Society,28.64498,77.29609
Mohan Niwas,28.62774,77.28343
Navniti Apartments-Main Gate,28.62884,77.30029
Karkardooma Court Chamber,28.64781,77.30015
Fancy Beauty Centre,28.63819,77.27942
Mayfair Apartments,28.63504,77.29765
Maurya Apartment,28.63458,77.30475
Shivam General Store,28.62218,77.29167
Dda Narwana Apartments,28.63594,77.29943
Saraswati Apartments,28.63695,77.3027
New Rajdhani Enclave,28.64192,77.29594
Shri Ram Jewellers,28.63701,77.27792
Nav Kranti Apartment,28.63569,77.29863
Him Varsha Apartments,28.63063,77.30171
Juneja Sales,28.63564,77.27909
